percentile;N;N.target;cum.N;cum.target;precision;recall;acc.precision;acc.recall;uplift;acc.uplift
0.01;11480;5676;11480;5676;0.4944;0.0792;0.4944;0.0792;7.91;7.91
0.02;11479;3728;22959;9404;0.3248;0.052;0.4096;0.1311;5.2;6.56
0.03;11479;2969;34438;12373;0.2586;0.0414;0.3593;0.1725;4.14;5.75
0.04;11479;2468;45917;14841;0.215;0.0344;0.3232;0.207;3.44;5.17
0.05;11479;2216;57396;17057;0.193;0.0309;0.2972;0.2379;3.09;4.76
0.06;11479;1981;68875;19038;0.1726;0.0276;0.2764;0.2655;2.76;4.42
0.07;11479;1908;80354;20946;0.1662;0.0266;0.2607;0.2921;2.66;4.17
0.08;11479;1766;91833;22712;0.1538;0.0246;0.2473;0.3167;2.46;3.96
0.09;11479;1551;103312;24263;0.1351;0.0216;0.2349;0.3383;2.16;3.76
0.1;11479;1466;114791;25729;0.1277;0.0204;0.2241;0.3588;2.04;3.59
0.11;11479;1373;126270;27102;0.1196;0.0191;0.2146;0.3779;1.91;3.44
0.12;11479;1345;137749;28447;0.1172;0.0188;0.2065;0.3967;1.88;3.31
0.13;11479;1323;149228;29770;0.1153;0.0184;0.1995;0.4151;1.85;3.19
0.14;11479;1213;160707;30983;0.1057;0.0169;0.1928;0.4321;1.69;3.09
0.15;11479;1186;172186;32169;0.1033;0.0165;0.1868;0.4486;1.65;2.99
0.16;11479;1181;183665;33350;0.1029;0.0165;0.1816;0.4651;1.65;2.91
0.17;11479;1092;195144;34442;0.0951;0.0152;0.1765;0.4803;1.52;2.83
0.18;11479;1035;206623;35477;0.0902;0.0144;0.1717;0.4947;1.44;2.75
0.19;11479;1001;218102;36478;0.0872;0.014;0.1673;0.5087;1.4;2.68
0.2;11479;984;229581;37462;0.0857;0.0137;0.1632;0.5224;1.37;2.61
0.21;11479;924;241060;38386;0.0805;0.0129;0.1592;0.5353;1.29;2.55
0.22;11479;894;252539;39280;0.0779;0.0125;0.1555;0.5478;1.25;2.49
0.23;11479;891;264018;40171;0.0776;0.0124;0.1522;0.5602;1.24;2.44
0.24;11479;889;275497;41060;0.0774;0.0124;0.149;0.5726;1.24;2.39
0.25;11479;859;286976;41919;0.0748;0.012;0.1461;0.5846;1.2;2.34
0.26;11480;871;298456;42790;0.0759;0.0121;0.1434;0.5967;1.21;2.3
0.27;11479;825;309935;43615;0.0719;0.0115;0.1407;0.6082;1.15;2.25
0.28;11479;811;321414;44426;0.0707;0.0113;0.1382;0.6195;1.13;2.21
0.29;11479;705;332893;45131;0.0614;0.0098;0.1356;0.6294;0.98;2.17
0.3;11479;714;344372;45845;0.0622;0.01;0.1331;0.6393;1;2.13
0.31;11479;754;355851;46599;0.0657;0.0105;0.131;0.6498;1.05;2.1
0.32;11479;717;367330;47316;0.0625;0.01;0.1288;0.6598;1;2.06
0.33;11479;673;378809;47989;0.0586;0.0094;0.1267;0.6692;0.94;2.03
0.34;11479;693;390288;48682;0.0604;0.0097;0.1247;0.6789;0.97;2
0.35;11479;678;401767;49360;0.0591;0.0095;0.1229;0.6883;0.95;1.97
0.36;11479;671;413246;50031;0.0585;0.0094;0.1211;0.6977;0.94;1.94
0.37;11479;665;424725;50696;0.0579;0.0093;0.1194;0.707;0.93;1.91
0.38;11479;621;436204;51317;0.0541;0.0087;0.1176;0.7156;0.87;1.88
0.39;11479;605;447683;51922;0.0527;0.0084;0.116;0.7241;0.84;1.86
0.4;11479;589;459162;52511;0.0513;0.0082;0.1144;0.7323;0.82;1.83
0.41;11479;581;470641;53092;0.0506;0.0081;0.1128;0.7404;0.81;1.81
0.42;11479;562;482120;53654;0.049;0.0078;0.1113;0.7482;0.78;1.78
0.43;11479;571;493599;54225;0.0497;0.008;0.1099;0.7562;0.8;1.76
0.44;11479;542;505078;54767;0.0472;0.0076;0.1084;0.7637;0.76;1.74
0.45;11479;558;516557;55325;0.0486;0.0078;0.1071;0.7715;0.78;1.71
0.46;11479;515;528036;55840;0.0449;0.0072;0.1058;0.7787;0.72;1.69
0.47;11479;504;539515;56344;0.0439;0.007;0.1044;0.7857;0.7;1.67
0.48;11479;537;550994;56881;0.0468;0.0075;0.1032;0.7932;0.75;1.65
0.49;11479;534;562473;57415;0.0465;0.0074;0.1021;0.8007;0.74;1.63
0.5;11479;477;573952;57892;0.0416;0.0067;0.1009;0.8073;0.67;1.62
0.51;11480;477;585432;58369;0.0416;0.0067;0.0997;0.814;0.67;1.6
0.52;11479;509;596911;58878;0.0443;0.0071;0.0986;0.8211;0.71;1.58
0.53;11479;478;608390;59356;0.0416;0.0067;0.0976;0.8277;0.67;1.56
0.54;11479;442;619869;59798;0.0385;0.0062;0.0965;0.8339;0.62;1.54
0.55;11479;442;631348;60240;0.0385;0.0062;0.0954;0.8401;0.62;1.53
0.56;11479;449;642827;60689;0.0391;0.0063;0.0944;0.8463;0.63;1.51
0.57;11479;433;654306;61122;0.0377;0.006;0.0934;0.8523;0.6;1.5
0.58;11479;396;665785;61518;0.0345;0.0055;0.0924;0.8579;0.55;1.48
0.59;11479;426;677264;61944;0.0371;0.0059;0.0915;0.8638;0.59;1.46
0.6;11479;458;688743;62402;0.0399;0.0064;0.0906;0.8702;0.64;1.45
0.61;11479;387;700222;62789;0.0337;0.0054;0.0897;0.8756;0.54;1.44
0.62;11479;410;711701;63199;0.0357;0.0057;0.0888;0.8813;0.57;1.42
0.63;11479;395;723180;63594;0.0344;0.0055;0.0879;0.8868;0.55;1.41
0.64;11479;357;734659;63951;0.0311;0.005;0.087;0.8918;0.5;1.39
0.65;11479;379;746138;64330;0.033;0.0053;0.0862;0.8971;0.53;1.38
0.66;11479;343;757617;64673;0.0299;0.0048;0.0854;0.9019;0.48;1.37
0.67;11479;355;769096;65028;0.0309;0.005;0.0846;0.9068;0.49;1.35
0.68;11479;337;780575;65365;0.0294;0.0047;0.0837;0.9115;0.47;1.34
0.69;11479;310;792054;65675;0.027;0.0043;0.0829;0.9158;0.43;1.33
0.7;11479;309;803533;65984;0.0269;0.0043;0.0821;0.9202;0.43;1.31
0.71;11479;303;815012;66287;0.0264;0.0042;0.0813;0.9244;0.42;1.3
0.72;11479;299;826491;66586;0.026;0.0042;0.0806;0.9285;0.42;1.29
0.73;11479;321;837970;66907;0.028;0.0045;0.0798;0.933;0.45;1.28
0.74;11479;293;849449;67200;0.0255;0.0041;0.0791;0.9371;0.41;1.27
0.75;11479;293;860928;67493;0.0255;0.0041;0.0784;0.9412;0.41;1.25
0.76;11480;286;872408;67779;0.0249;0.004;0.0777;0.9452;0.4;1.24
0.77;11479;259;883887;68038;0.0226;0.0036;0.077;0.9488;0.36;1.23
0.78;11479;280;895366;68318;0.0244;0.0039;0.0763;0.9527;0.39;1.22
0.79;11479;271;906845;68589;0.0236;0.0038;0.0756;0.9565;0.38;1.21
0.8;11479;256;918324;68845;0.0223;0.0036;0.075;0.96;0.36;1.2
0.81;11479;233;929803;69078;0.0203;0.0032;0.0743;0.9633;0.32;1.19
0.82;11479;254;941282;69332;0.0221;0.0035;0.0737;0.9668;0.35;1.18
0.83;11479;228;952761;69560;0.0199;0.0032;0.073;0.97;0.32;1.17
0.84;11479;198;964240;69758;0.0172;0.0028;0.0723;0.9728;0.28;1.16
0.85;11479;212;975719;69970;0.0185;0.003;0.0717;0.9757;0.3;1.15
0.86;11479;201;987198;70171;0.0175;0.0028;0.0711;0.9785;0.28;1.14
0.87;11479;174;998677;70345;0.0152;0.0024;0.0704;0.981;0.24;1.13
0.88;11479;174;1010156;70519;0.0152;0.0024;0.0698;0.9834;0.24;1.12
0.89;11479;168;1021635;70687;0.0146;0.0023;0.0692;0.9857;0.23;1.11
0.9;11479;131;1033114;70818;0.0114;0.0018;0.0685;0.9876;0.18;1.1
0.91;11479;140;1044593;70958;0.0122;0.002;0.0679;0.9895;0.2;1.09
0.92;11479;116;1056072;71074;0.0101;0.0016;0.0673;0.9911;0.16;1.08
0.93;11479;112;1067551;71186;0.0098;0.0016;0.0667;0.9927;0.16;1.07
0.94;11479;106;1079030;71292;0.0092;0.0015;0.0661;0.9942;0.15;1.06
0.95;11479;103;1090509;71395;0.009;0.0014;0.0655;0.9956;0.14;1.05
0.96;11479;94;1101988;71489;0.0082;0.0013;0.0649;0.9969;0.13;1.04
0.97;11479;74;1113467;71563;0.0064;0.001;0.0643;0.998;0.1;1.03
0.98;11479;72;1124946;71635;0.0063;0.001;0.0637;0.999;0.1;1.02
0.99;11479;52;1136425;71687;0.0045;7e-04;0.0631;0.9997;0.07;1.01
1;11479;23;1147904;71710;0.002;3e-04;0.0625;1;0.03;1
