percentile;N;N.target;cum.N;cum.target;precision;recall;acc.precision;acc.recall;uplift;acc.uplift
0.01;1484;614;1484;614;0.4137;0.0662;0.4137;0.0662;6.62;6.62
0.02;1483;372;2967;986;0.2508;0.0401;0.3323;0.1064;4.01;5.32
0.03;1483;303;4450;1289;0.2043;0.0327;0.2897;0.1391;3.27;4.64
0.04;1483;246;5933;1535;0.1659;0.0265;0.2587;0.1656;2.65;4.14
0.05;1483;234;7416;1769;0.1578;0.0252;0.2385;0.1908;2.52;3.82
0.06;1484;249;8900;2018;0.1678;0.0269;0.2267;0.2177;2.68;3.63
0.07;1483;187;10383;2205;0.1261;0.0202;0.2124;0.2379;2.02;3.4
0.08;1483;198;11866;2403;0.1335;0.0214;0.2025;0.2592;2.14;3.24
0.09;1483;184;13349;2587;0.1241;0.0198;0.1938;0.2791;1.99;3.1
0.1;1483;167;14832;2754;0.1126;0.018;0.1857;0.2971;1.8;2.97
0.11;1484;161;16316;2915;0.1085;0.0174;0.1787;0.3145;1.74;2.86
0.12;1483;150;17799;3065;0.1011;0.0162;0.1722;0.3306;1.62;2.76
0.13;1483;149;19282;3214;0.1005;0.0161;0.1667;0.3467;1.61;2.67
0.14;1483;134;20765;3348;0.0904;0.0145;0.1612;0.3612;1.45;2.58
0.15;1483;122;22248;3470;0.0823;0.0132;0.156;0.3743;1.32;2.5
0.16;1484;129;23732;3599;0.0869;0.0139;0.1517;0.3882;1.39;2.43
0.17;1483;130;25215;3729;0.0877;0.014;0.1479;0.4023;1.4;2.37
0.18;1483;123;26698;3852;0.0829;0.0133;0.1443;0.4155;1.33;2.31
0.19;1483;115;28181;3967;0.0775;0.0124;0.1408;0.4279;1.24;2.25
0.2;1483;102;29664;4069;0.0688;0.011;0.1372;0.4389;1.1;2.2
0.21;1484;100;31148;4169;0.0674;0.0108;0.1338;0.4497;1.08;2.14
0.22;1483;113;32631;4282;0.0762;0.0122;0.1312;0.4619;1.22;2.1
0.23;1483;122;34114;4404;0.0823;0.0132;0.1291;0.4751;1.32;2.07
0.24;1483;113;35597;4517;0.0762;0.0122;0.1269;0.4873;1.22;2.03
0.25;1483;113;37080;4630;0.0762;0.0122;0.1249;0.4995;1.22;2
0.26;1484;91;38564;4721;0.0613;0.0098;0.1224;0.5093;0.98;1.96
0.27;1483;84;40047;4805;0.0566;0.0091;0.12;0.5183;0.91;1.92
0.28;1483;102;41530;4907;0.0688;0.011;0.1182;0.5293;1.1;1.89
0.29;1483;93;43013;5000;0.0627;0.01;0.1162;0.5394;1;1.86
0.3;1483;100;44496;5100;0.0674;0.0108;0.1146;0.5502;1.08;1.83
0.31;1484;95;45980;5195;0.064;0.0102;0.113;0.5604;1.02;1.81
0.32;1483;109;47463;5304;0.0735;0.0118;0.1118;0.5722;1.18;1.79
0.33;1483;80;48946;5384;0.0539;0.0086;0.11;0.5808;0.86;1.76
0.34;1483;86;50429;5470;0.058;0.0093;0.1085;0.5901;0.93;1.74
0.35;1483;78;51912;5548;0.0526;0.0084;0.1069;0.5985;0.84;1.71
0.36;1484;83;53396;5631;0.0559;0.009;0.1055;0.6074;0.89;1.69
0.37;1483;74;54879;5705;0.0499;0.008;0.104;0.6154;0.8;1.66
0.38;1483;91;56362;5796;0.0614;0.0098;0.1028;0.6252;0.98;1.64
0.39;1483;94;57845;5890;0.0634;0.0101;0.1018;0.6354;1.01;1.63
0.4;1483;89;59328;5979;0.06;0.0096;0.1008;0.645;0.96;1.61
0.41;1484;62;60812;6041;0.0418;0.0067;0.0993;0.6517;0.67;1.59
0.42;1483;87;62295;6128;0.0587;0.0094;0.0984;0.6611;0.94;1.57
0.43;1483;74;63778;6202;0.0499;0.008;0.0972;0.669;0.8;1.56
0.44;1483;82;65261;6284;0.0553;0.0088;0.0963;0.6779;0.88;1.54
0.45;1483;83;66744;6367;0.056;0.009;0.0954;0.6868;0.9;1.53
0.46;1484;72;68228;6439;0.0485;0.0078;0.0944;0.6946;0.78;1.51
0.47;1483;70;69711;6509;0.0472;0.0076;0.0934;0.7022;0.76;1.49
0.48;1483;67;71194;6576;0.0452;0.0072;0.0924;0.7094;0.72;1.48
0.49;1483;72;72677;6648;0.0486;0.0078;0.0915;0.7172;0.78;1.46
0.5;1483;91;74160;6739;0.0614;0.0098;0.0909;0.727;0.98;1.45
0.51;1484;66;75644;6805;0.0445;0.0071;0.09;0.7341;0.71;1.44
