percentile;N;N.target;cum.N;cum.target;precision;recall;acc.precision;acc.recall;uplift;acc.uplift
0.01;1148;514;1148;514;0.4477;0.0727;0.4477;0.0727;7.27;7.27
0.02;1148;363;2296;877;0.3162;0.0513;0.382;0.124;5.13;6.2
0.03;1148;310;3444;1187;0.27;0.0438;0.3447;0.1678;4.38;5.59
0.04;1148;246;4592;1433;0.2143;0.0348;0.3121;0.2026;3.48;5.07
0.05;1148;234;5740;1667;0.2038;0.0331;0.2904;0.2357;3.31;4.71
0.06;1148;192;6888;1859;0.1672;0.0271;0.2699;0.2628;2.71;4.38
0.07;1148;196;8036;2055;0.1707;0.0277;0.2557;0.2905;2.77;4.15
0.08;1148;174;9184;2229;0.1516;0.0246;0.2427;0.3151;2.46;3.94
0.09;1148;154;10332;2383;0.1341;0.0218;0.2306;0.3369;2.18;3.74
0.1;1148;137;11480;2520;0.1193;0.0194;0.2195;0.3563;1.94;3.56
0.11;1148;139;12628;2659;0.1211;0.0197;0.2106;0.3759;1.97;3.42
0.12;1147;112;13775;2771;0.0976;0.0158;0.2012;0.3918;1.58;3.27
0.13;1148;153;14923;2924;0.1333;0.0216;0.1959;0.4134;2.16;3.18
0.14;1148;131;16071;3055;0.1141;0.0185;0.1901;0.4319;1.85;3.09
0.15;1148;109;17219;3164;0.0949;0.0154;0.1838;0.4473;1.54;2.98
0.16;1148;108;18367;3272;0.0941;0.0153;0.1781;0.4626;1.53;2.89
0.17;1148;112;19515;3384;0.0976;0.0158;0.1734;0.4784;1.58;2.81
0.18;1148;95;20663;3479;0.0828;0.0134;0.1684;0.4919;1.34;2.73
0.19;1148;93;21811;3572;0.081;0.0131;0.1638;0.505;1.31;2.66
0.2;1148;92;22959;3664;0.0801;0.013;0.1596;0.518;1.3;2.59
0.21;1148;95;24107;3759;0.0828;0.0134;0.1559;0.5315;1.34;2.53
0.22;1148;110;25255;3869;0.0958;0.0156;0.1532;0.547;1.55;2.49
0.23;1147;91;26402;3960;0.0793;0.0129;0.15;0.5599;1.29;2.43
0.24;1148;79;27550;4039;0.0688;0.0112;0.1466;0.571;1.12;2.38
0.25;1148;89;28698;4128;0.0775;0.0126;0.1438;0.5836;1.26;2.33
0.26;1148;90;29846;4218;0.0784;0.0127;0.1413;0.5964;1.27;2.29
0.27;1148;92;30994;4310;0.0801;0.013;0.1391;0.6094;1.3;2.26
0.28;1148;79;32142;4389;0.0688;0.0112;0.1366;0.6205;1.12;2.22
0.29;1148;86;33290;4475;0.0749;0.0122;0.1344;0.6327;1.22;2.18
0.3;1148;66;34438;4541;0.0575;0.0093;0.1319;0.642;0.93;2.14
0.31;1148;48;35586;4589;0.0418;0.0068;0.129;0.6488;0.68;2.09
0.32;1148;69;36734;4658;0.0601;0.0098;0.1268;0.6586;0.98;2.06
0.33;1148;78;37882;4736;0.0679;0.011;0.125;0.6696;1.1;2.03
0.34;1147;60;39029;4796;0.0523;0.0085;0.1229;0.6781;0.85;1.99
0.35;1148;71;40177;4867;0.0618;0.01;0.1211;0.6881;1;1.97
0.36;1148;56;41325;4923;0.0488;0.0079;0.1191;0.696;0.79;1.93
0.37;1148;63;42473;4986;0.0549;0.0089;0.1174;0.7049;0.89;1.91
0.38;1148;55;43621;5041;0.0479;0.0078;0.1156;0.7127;0.78;1.88
0.39;1148;52;44769;5093;0.0453;0.0074;0.1138;0.7201;0.74;1.85
0.4;1148;57;45917;5150;0.0497;0.0081;0.1122;0.7281;0.81;1.82
0.41;1148;56;47065;5206;0.0488;0.0079;0.1106;0.736;0.79;1.79
0.42;1148;48;48213;5254;0.0418;0.0068;0.109;0.7428;0.68;1.77
0.43;1148;61;49361;5315;0.0531;0.0086;0.1077;0.7514;0.86;1.75
0.44;1148;64;50509;5379;0.0557;0.009;0.1065;0.7605;0.9;1.73
0.45;1147;54;51656;5433;0.0471;0.0076;0.1052;0.7681;0.76;1.71
0.46;1148;58;52804;5491;0.0505;0.0082;0.104;0.7763;0.82;1.69
0.47;1148;55;53952;5546;0.0479;0.0078;0.1028;0.7841;0.78;1.67
0.48;1148;55;55100;5601;0.0479;0.0078;0.1017;0.7919;0.78;1.65
0.49;1148;39;56248;5640;0.034;0.0055;0.1003;0.7974;0.55;1.63
0.5;1148;49;57396;5689;0.0427;0.0069;0.0991;0.8043;0.69;1.61
0.51;1148;52;58544;5741;0.0453;0.0074;0.0981;0.8117;0.74;1.59
0.52;1148;42;59692;5783;0.0366;0.0059;0.0969;0.8176;0.59;1.57
0.53;1148;33;60840;5816;0.0287;0.0047;0.0956;0.8223;0.47;1.55
0.54;1148;37;61988;5853;0.0322;0.0052;0.0944;0.8275;0.52;1.53
0.55;1148;43;63136;5896;0.0375;0.0061;0.0934;0.8336;0.61;1.52
0.56;1147;36;64283;5932;0.0314;0.0051;0.0923;0.8387;0.51;1.5
0.57;1148;48;65431;5980;0.0418;0.0068;0.0914;0.8455;0.68;1.48
0.58;1148;42;66579;6022;0.0366;0.0059;0.0904;0.8514;0.59;1.47
0.59;1148;44;67727;6066;0.0383;0.0062;0.0896;0.8576;0.62;1.45
0.6;1148;34;68875;6100;0.0296;0.0048;0.0886;0.8624;0.48;1.44
0.61;1148;43;70023;6143;0.0375;0.0061;0.0877;0.8685;0.61;1.42
0.62;1148;30;71171;6173;0.0261;0.0042;0.0867;0.8728;0.42;1.41
0.63;1148;34;72319;6207;0.0296;0.0048;0.0858;0.8776;0.48;1.39
0.64;1148;36;73467;6243;0.0314;0.0051;0.085;0.8827;0.51;1.38
0.65;1148;41;74615;6284;0.0357;0.0058;0.0842;0.8884;0.58;1.37
0.66;1148;33;75763;6317;0.0287;0.0047;0.0834;0.8931;0.47;1.35
0.67;1147;29;76910;6346;0.0253;0.0041;0.0825;0.8972;0.41;1.34
0.68;1148;37;78058;6383;0.0322;0.0052;0.0818;0.9024;0.52;1.33
0.69;1148;29;79206;6412;0.0253;0.0041;0.081;0.9065;0.41;1.31
0.7;1148;28;80354;6440;0.0244;0.004;0.0801;0.9105;0.4;1.3
0.71;1148;32;81502;6472;0.0279;0.0045;0.0794;0.915;0.45;1.29
0.72;1148;29;82650;6501;0.0253;0.0041;0.0787;0.9191;0.41;1.28
0.73;1148;27;83798;6528;0.0235;0.0038;0.0779;0.9229;0.38;1.26
0.74;1148;26;84946;6554;0.0226;0.0037;0.0772;0.9266;0.37;1.25
0.75;1148;27;86094;6581;0.0235;0.0038;0.0764;0.9304;0.38;1.24
0.76;1148;39;87242;6620;0.034;0.0055;0.0759;0.936;0.55;1.23
0.77;1148;24;88390;6644;0.0209;0.0034;0.0752;0.9393;0.34;1.22
0.78;1147;24;89537;6668;0.0209;0.0034;0.0745;0.9427;0.34;1.21
0.79;1148;27;90685;6695;0.0235;0.0038;0.0738;0.9466;0.38;1.2
0.8;1148;23;91833;6718;0.02;0.0033;0.0732;0.9498;0.32;1.19
0.81;1148;27;92981;6745;0.0235;0.0038;0.0725;0.9536;0.38;1.18
0.82;1148;34;94129;6779;0.0296;0.0048;0.072;0.9584;0.48;1.17
0.83;1148;30;95277;6809;0.0261;0.0042;0.0715;0.9627;0.42;1.16
0.84;1148;31;96425;6840;0.027;0.0044;0.0709;0.9671;0.44;1.15
0.85;1148;21;97573;6861;0.0183;0.003;0.0703;0.97;0.3;1.14
