percentile;N;N.target;cum.N;cum.target;precision;recall;acc.precision;acc.recall;uplift;acc.uplift
0.01;11385;1664;11385;1664;0.1462;0.0805;0.1462;0.0805;8.05;8.05
0.02;11384;929;22769;2593;0.0816;0.0449;0.1139;0.1254;4.49;6.27
0.03;11384;768;34153;3361;0.0675;0.0371;0.0984;0.1625;3.72;5.42
0.04;11384;661;45537;4022;0.0581;0.032;0.0883;0.1945;3.2;4.86
0.05;11384;597;56921;4619;0.0524;0.0289;0.0811;0.2234;2.88;4.46
0.06;11385;501;68306;5120;0.044;0.0242;0.075;0.2476;2.42;4.13
0.07;11384;485;79690;5605;0.0426;0.0235;0.0703;0.271;2.35;3.87
0.08;11384;453;91074;6058;0.0398;0.0219;0.0665;0.293;2.19;3.66
0.09;11384;447;102458;6505;0.0393;0.0216;0.0635;0.3146;2.16;3.5
0.1;11384;413;113842;6918;0.0363;0.02;0.0608;0.3345;2;3.35
0.11;11384;394;125226;7312;0.0346;0.0191;0.0584;0.3536;1.9;3.22
0.12;11385;389;136611;7701;0.0342;0.0188;0.0564;0.3724;1.88;3.1
0.13;11384;376;147995;8077;0.033;0.0182;0.0546;0.3906;1.82;3.01
0.14;11384;349;159379;8426;0.0307;0.0169;0.0529;0.4075;1.69;2.91
0.15;11384;331;170763;8757;0.0291;0.016;0.0513;0.4235;1.6;2.82
0.16;11384;336;182147;9093;0.0295;0.0162;0.0499;0.4397;1.62;2.75
0.17;11385;319;193532;9412;0.028;0.0154;0.0486;0.4551;1.54;2.68
0.18;11384;299;204916;9711;0.0263;0.0145;0.0474;0.4696;1.45;2.61
0.19;11384;294;216300;10005;0.0258;0.0142;0.0463;0.4838;1.42;2.55
0.2;11384;290;227684;10295;0.0255;0.014;0.0452;0.4978;1.4;2.49
0.21;11384;268;239068;10563;0.0235;0.013;0.0442;0.5108;1.29;2.43
0.22;11384;253;250452;10816;0.0222;0.0122;0.0432;0.523;1.22;2.38
0.23;11385;266;261837;11082;0.0234;0.0129;0.0423;0.5359;1.29;2.33
0.24;11384;268;273221;11350;0.0235;0.013;0.0415;0.5489;1.29;2.28
0.25;11384;232;284605;11582;0.0204;0.0112;0.0407;0.5601;1.12;2.24
0.26;11384;243;295989;11825;0.0213;0.0118;0.04;0.5718;1.17;2.2
0.27;11384;224;307373;12049;0.0197;0.0108;0.0392;0.5827;1.08;2.16
0.28;11385;225;318758;12274;0.0198;0.0109;0.0385;0.5935;1.09;2.12
0.29;11384;231;330142;12505;0.0203;0.0112;0.0379;0.6047;1.12;2.09
0.3;11384;236;341526;12741;0.0207;0.0114;0.0373;0.6161;1.14;2.05
0.31;11384;224;352910;12965;0.0197;0.0108;0.0367;0.627;1.08;2.02
0.32;11384;186;364294;13151;0.0163;0.009;0.0361;0.636;0.9;1.99
0.33;11384;213;375678;13364;0.0187;0.0103;0.0356;0.6463;1.03;1.96
0.34;11385;199;387063;13563;0.0175;0.0096;0.035;0.6559;0.96;1.93
0.35;11384;195;398447;13758;0.0171;0.0094;0.0345;0.6653;0.94;1.9
0.36;11384;207;409831;13965;0.0182;0.01;0.0341;0.6753;1;1.88
0.37;11384;211;421215;14176;0.0185;0.0102;0.0337;0.6855;1.02;1.86
0.38;11384;169;432599;14345;0.0148;0.0082;0.0332;0.6937;0.81;1.83
0.39;11385;175;443984;14520;0.0154;0.0085;0.0327;0.7022;0.85;1.8
0.4;11384;181;455368;14701;0.0159;0.0088;0.0323;0.7109;0.88;1.78
0.41;11384;225;466752;14926;0.0198;0.0109;0.032;0.7218;1.09;1.76
0.42;11384;158;478136;15084;0.0139;0.0076;0.0315;0.7294;0.77;1.73
0.43;11384;154;489520;15238;0.0135;0.0074;0.0311;0.7369;0.74;1.71
0.44;11384;178;500904;15416;0.0156;0.0086;0.0308;0.7455;0.86;1.7
0.45;11385;214;512289;15630;0.0188;0.0103;0.0305;0.7558;1.03;1.68
0.46;11384;162;523673;15792;0.0142;0.0078;0.0302;0.7637;0.78;1.66
0.47;11384;144;535057;15936;0.0126;0.007;0.0298;0.7706;0.69;1.64
0.48;11384;162;546441;16098;0.0142;0.0078;0.0295;0.7785;0.78;1.62
0.49;11384;166;557825;16264;0.0146;0.008;0.0292;0.7865;0.8;1.61
0.5;11384;166;569209;16430;0.0146;0.008;0.0289;0.7945;0.8;1.59
0.51;11385;146;580594;16576;0.0128;0.0071;0.0286;0.8016;0.7;1.57
0.52;11384;149;591978;16725;0.0131;0.0072;0.0283;0.8088;0.72;1.56
0.53;11384;131;603362;16856;0.0115;0.0063;0.0279;0.8151;0.63;1.54
0.54;11384;142;614746;16998;0.0125;0.0069;0.0277;0.822;0.69;1.52
0.55;11384;139;626130;17137;0.0122;0.0067;0.0274;0.8287;0.67;1.51
0.56;11385;135;637515;17272;0.0119;0.0065;0.0271;0.8352;0.66;1.49
0.57;11384;131;648899;17403;0.0115;0.0063;0.0268;0.8416;0.63;1.48
0.58;11384;125;660283;17528;0.011;0.006;0.0265;0.8476;0.61;1.46
0.59;11384;122;671667;17650;0.0107;0.0059;0.0263;0.8535;0.59;1.45
0.6;11384;111;683051;17761;0.0098;0.0054;0.026;0.8589;0.54;1.43
0.61;11384;129;694435;17890;0.0113;0.0062;0.0258;0.8651;0.62;1.42
0.62;11385;128;705820;18018;0.0112;0.0062;0.0255;0.8713;0.62;1.4
0.63;11384;119;717204;18137;0.0105;0.0058;0.0253;0.8771;0.58;1.39
0.64;11384;99;728588;18236;0.0087;0.0048;0.025;0.8819;0.48;1.38
0.65;11384;100;739972;18336;0.0088;0.0048;0.0248;0.8867;0.48;1.37
0.66;11384;102;751356;18438;0.009;0.0049;0.0245;0.8916;0.5;1.35
0.67;11385;93;762741;18531;0.0082;0.0045;0.0243;0.8961;0.45;1.34
0.68;11384;90;774125;18621;0.0079;0.0044;0.0241;0.9005;0.43;1.33
0.69;11384;110;785509;18731;0.0097;0.0053;0.0238;0.9058;0.53;1.31
0.7;11384;90;796893;18821;0.0079;0.0044;0.0236;0.9102;0.43;1.3
0.71;11384;115;808277;18936;0.0101;0.0056;0.0234;0.9157;0.56;1.29
0.72;11384;98;819661;19034;0.0086;0.0047;0.0232;0.9205;0.47;1.28
0.73;11385;87;831046;19121;0.0076;0.0042;0.023;0.9247;0.42;1.27
0.74;11384;85;842430;19206;0.0075;0.0041;0.0228;0.9288;0.41;1.26
0.75;11384;86;853814;19292;0.0076;0.0042;0.0226;0.9329;0.42;1.24
0.76;11384;90;865198;19382;0.0079;0.0044;0.0224;0.9373;0.43;1.23
0.77;11384;96;876582;19478;0.0084;0.0046;0.0222;0.9419;0.46;1.22
0.78;11385;76;887967;19554;0.0067;0.0037;0.022;0.9456;0.37;1.21
0.79;11384;87;899351;19641;0.0076;0.0042;0.0218;0.9498;0.42;1.2
0.8;11384;84;910735;19725;0.0074;0.0041;0.0217;0.9539;0.41;1.19
0.81;11384;83;922119;19808;0.0073;0.004;0.0215;0.9579;0.4;1.18
0.82;11384;65;933503;19873;0.0057;0.0031;0.0213;0.961;0.31;1.17
0.83;11384;61;944887;19934;0.0054;0.0029;0.0211;0.964;0.3;1.16
0.84;11385;71;956272;20005;0.0062;0.0034;0.0209;0.9674;0.34;1.15
0.85;11384;67;967656;20072;0.0059;0.0032;0.0207;0.9706;0.32;1.14
0.86;11384;55;979040;20127;0.0048;0.0027;0.0206;0.9733;0.26;1.13
0.87;11384;53;990424;20180;0.0047;0.0026;0.0204;0.9759;0.26;1.12
0.88;11384;46;1001808;20226;0.004;0.0022;0.0202;0.9781;0.22;1.11
0.89;11385;63;1013193;20289;0.0055;0.003;0.02;0.9811;0.3;1.1
0.9;11384;55;1024577;20344;0.0048;0.0027;0.0199;0.9838;0.26;1.1
