percentile;N;N.target;cum.N;cum.target;precision;recall;acc.precision;acc.recall;uplift;acc.uplift
0.01;11385;1172;11385;1172;0.1029;0.0566;0.1029;0.0566;5.66;5.66
0.02;11384;796;22769;1968;0.0699;0.0385;0.0864;0.0951;3.85;4.75
0.03;11384;665;34153;2633;0.0584;0.0321;0.0771;0.1272;3.21;4.24
0.04;11384;600;45537;3233;0.0527;0.029;0.071;0.1562;2.9;3.91
0.05;11384;526;56921;3759;0.0462;0.0254;0.066;0.1817;2.54;3.63
0.06;11385;519;68306;4278;0.0456;0.0251;0.0626;0.2067;2.51;3.44
0.07;11384;468;79690;4746;0.0411;0.0226;0.0596;0.2294;2.26;3.28
0.08;11384;401;91074;5147;0.0352;0.0194;0.0565;0.2487;1.94;3.11
0.09;11384;349;102458;5496;0.0307;0.0169;0.0536;0.2656;1.69;2.95
0.1;11384;418;113842;5914;0.0367;0.0202;0.0519;0.2858;2.02;2.86
0.11;11384;360;125226;6274;0.0316;0.0174;0.0501;0.3032;1.74;2.76
0.12;11385;372;136611;6646;0.0327;0.018;0.0486;0.3212;1.8;2.67
0.13;11384;340;147995;6986;0.0299;0.0164;0.0472;0.3376;1.65;2.6
0.14;11384;338;159379;7324;0.0297;0.0163;0.046;0.354;1.63;2.53
0.15;11384;317;170763;7641;0.0278;0.0153;0.0447;0.3693;1.53;2.46
0.16;11384;300;182147;7941;0.0264;0.0145;0.0436;0.3838;1.45;2.4
0.17;11385;293;193532;8234;0.0257;0.0142;0.0425;0.3979;1.41;2.34
0.18;11384;314;204916;8548;0.0276;0.0152;0.0417;0.4131;1.52;2.29
0.19;11384;274;216300;8822;0.0241;0.0132;0.0408;0.4263;1.33;2.24
0.2;11384;288;227684;9110;0.0253;0.0139;0.04;0.4403;1.39;2.2
0.21;11384;275;239068;9385;0.0242;0.0133;0.0393;0.4536;1.33;2.16
0.22;11384;274;250452;9659;0.0241;0.0132;0.0386;0.4668;1.33;2.12
0.23;11385;246;261837;9905;0.0216;0.0119;0.0378;0.4787;1.19;2.08
0.24;11384;240;273221;10145;0.0211;0.0116;0.0371;0.4903;1.16;2.04
0.25;11384;251;284605;10396;0.022;0.0121;0.0365;0.5024;1.21;2.01
0.26;11384;231;295989;10627;0.0203;0.0112;0.0359;0.5136;1.12;1.98
0.27;11384;254;307373;10881;0.0223;0.0123;0.0354;0.5259;1.23;1.95
0.28;11385;225;318758;11106;0.0198;0.0109;0.0348;0.5367;1.09;1.91
0.29;11384;201;330142;11307;0.0177;0.0097;0.0342;0.5464;0.97;1.88
0.3;11384;204;341526;11511;0.0179;0.0099;0.0337;0.5563;0.98;1.85
0.31;11384;238;352910;11749;0.0209;0.0115;0.0333;0.5678;1.15;1.83
0.32;11384;239;364294;11988;0.021;0.0116;0.0329;0.5794;1.16;1.81
0.33;11384;208;375678;12196;0.0183;0.0101;0.0325;0.5894;1.01;1.79
0.34;11385;198;387063;12394;0.0174;0.0096;0.032;0.599;0.96;1.76
0.35;11384;213;398447;12607;0.0187;0.0103;0.0316;0.6093;1.03;1.74
0.36;11384;211;409831;12818;0.0185;0.0102;0.0313;0.6195;1.02;1.72
0.37;11384;208;421215;13026;0.0183;0.0101;0.0309;0.6295;1.01;1.7
0.38;11384;199;432599;13225;0.0175;0.0096;0.0306;0.6391;0.96;1.68
0.39;11385;214;443984;13439;0.0188;0.0103;0.0303;0.6495;1.03;1.67
0.4;11384;212;455368;13651;0.0186;0.0102;0.03;0.6597;1.02;1.65
0.41;11384;200;466752;13851;0.0176;0.0097;0.0297;0.6694;0.97;1.63
0.42;11384;169;478136;14020;0.0148;0.0082;0.0293;0.6776;0.81;1.61
0.43;11384;190;489520;14210;0.0167;0.0092;0.029;0.6867;0.92;1.6
0.44;11384;208;500904;14418;0.0183;0.0101;0.0288;0.6968;1.01;1.58
