percentile;N;N.target;cum.N;cum.target;precision;recall;acc.precision;acc.recall;uplift;acc.uplift
0.01;1484;608;1484;608;0.4097;0.0656;0.4097;0.0656;6.56;6.56
0.02;1483;406;2967;1014;0.2738;0.0438;0.3418;0.1094;4.38;5.47
0.03;1483;285;4450;1299;0.1922;0.0307;0.2919;0.1401;3.08;4.67
0.04;1483;256;5933;1555;0.1726;0.0276;0.2621;0.1677;2.76;4.19
0.05;1483;223;7416;1778;0.1504;0.0241;0.2398;0.1918;2.41;3.84
0.06;1484;210;8900;1988;0.1415;0.0227;0.2234;0.2145;2.26;3.57
0.07;1483;209;10383;2197;0.1409;0.0225;0.2116;0.237;2.25;3.39
0.08;1483;182;11866;2379;0.1227;0.0196;0.2005;0.2566;1.96;3.21
0.09;1483;162;13349;2541;0.1092;0.0175;0.1904;0.2741;1.75;3.05
0.1;1483;164;14832;2705;0.1106;0.0177;0.1824;0.2918;1.77;2.92
0.11;1484;147;16316;2852;0.0991;0.0159;0.1748;0.3077;1.59;2.8
0.12;1483;180;17799;3032;0.1214;0.0194;0.1703;0.3271;1.94;2.72
0.13;1483;157;19282;3189;0.1059;0.0169;0.1654;0.344;1.69;2.65
0.14;1483;135;20765;3324;0.091;0.0146;0.1601;0.3586;1.46;2.56
0.15;1483;167;22248;3491;0.1126;0.018;0.1569;0.3766;1.8;2.51
0.16;1484;130;23732;3621;0.0876;0.014;0.1526;0.3906;1.4;2.44
0.17;1483;109;25215;3730;0.0735;0.0118;0.1479;0.4024;1.18;2.37
0.18;1483;117;26698;3847;0.0789;0.0126;0.1441;0.415;1.26;2.31
0.19;1483;108;28181;3955;0.0728;0.0117;0.1403;0.4266;1.16;2.24
0.2;1483;109;29664;4064;0.0735;0.0118;0.137;0.4384;1.18;2.19
0.21;1484;121;31148;4185;0.0815;0.0131;0.1344;0.4515;1.3;2.15
0.22;1483;113;32631;4298;0.0762;0.0122;0.1317;0.4636;1.22;2.11
0.23;1483;112;34114;4410;0.0755;0.0121;0.1293;0.4757;1.21;2.07
0.24;1483;115;35597;4525;0.0775;0.0124;0.1271;0.4881;1.24;2.03
0.25;1483;93;37080;4618;0.0627;0.01;0.1245;0.4982;1;1.99
0.26;1484;98;38564;4716;0.066;0.0106;0.1223;0.5087;1.06;1.96
0.27;1483;88;40047;4804;0.0593;0.0095;0.12;0.5182;0.95;1.92
0.28;1483;107;41530;4911;0.0722;0.0115;0.1183;0.5298;1.16;1.89
0.29;1483;97;43013;5008;0.0654;0.0105;0.1164;0.5402;1.05;1.86
0.3;1483;99;44496;5107;0.0668;0.0107;0.1148;0.5509;1.07;1.84
0.31;1484;114;45980;5221;0.0768;0.0123;0.1135;0.5632;1.23;1.82
0.32;1483;109;47463;5330;0.0735;0.0118;0.1123;0.575;1.18;1.8
0.33;1483;104;48946;5434;0.0701;0.0112;0.111;0.5862;1.12;1.78
0.34;1483;90;50429;5524;0.0607;0.0097;0.1095;0.5959;0.97;1.75
0.35;1483;89;51912;5613;0.06;0.0096;0.1081;0.6055;0.96;1.73
0.36;1484;96;53396;5709;0.0647;0.0104;0.1069;0.6159;1.04;1.71
0.37;1483;87;54879;5796;0.0587;0.0094;0.1056;0.6252;0.94;1.69
0.38;1483;76;56362;5872;0.0512;0.0082;0.1042;0.6334;0.82;1.67
0.39;1483;71;57845;5943;0.0479;0.0077;0.1027;0.6411;0.77;1.64
0.4;1483;74;59328;6017;0.0499;0.008;0.1014;0.6491;0.8;1.62
0.41;1484;75;60812;6092;0.0505;0.0081;0.1002;0.6572;0.81;1.6
0.42;1483;86;62295;6178;0.058;0.0093;0.0992;0.6665;0.93;1.59
0.43;1483;92;63778;6270;0.062;0.0099;0.0983;0.6764;0.99;1.57
0.44;1483;74;65261;6344;0.0499;0.008;0.0972;0.6844;0.8;1.56
0.45;1483;66;66744;6410;0.0445;0.0071;0.096;0.6915;0.71;1.54
0.46;1484;70;68228;6480;0.0472;0.0076;0.095;0.699;0.76;1.52
0.47;1483;78;69711;6558;0.0526;0.0084;0.0941;0.7074;0.84;1.51
0.48;1483;72;71194;6630;0.0486;0.0078;0.0931;0.7152;0.78;1.49
0.49;1483;58;72677;6688;0.0391;0.0063;0.092;0.7215;0.63;1.47
0.5;1483;60;74160;6748;0.0405;0.0065;0.091;0.7279;0.65;1.46
0.51;1484;74;75644;6822;0.0499;0.008;0.0902;0.7359;0.8;1.44
0.52;1483;65;77127;6887;0.0438;0.007;0.0893;0.7429;0.7;1.43
0.53;1483;81;78610;6968;0.0546;0.0087;0.0886;0.7517;0.87;1.42
0.54;1483;73;80093;7041;0.0492;0.0079;0.0879;0.7595;0.79;1.41
0.55;1483;79;81576;7120;0.0533;0.0085;0.0873;0.7681;0.85;1.4
0.56;1484;66;83060;7186;0.0445;0.0071;0.0865;0.7752;0.71;1.38
0.57;1483;65;84543;7251;0.0438;0.007;0.0858;0.7822;0.7;1.37
0.58;1483;65;86026;7316;0.0438;0.007;0.085;0.7892;0.7;1.36
0.59;1483;66;87509;7382;0.0445;0.0071;0.0844;0.7963;0.71;1.35
0.6;1483;85;88992;7467;0.0573;0.0092;0.0839;0.8055;0.92;1.34
0.61;1484;71;90476;7538;0.0478;0.0077;0.0833;0.8132;0.76;1.33
0.62;1483;63;91959;7601;0.0425;0.0068;0.0827;0.82;0.68;1.32
0.63;1483;69;93442;7670;0.0465;0.0074;0.0821;0.8274;0.74;1.31
0.64;1483;67;94925;7737;0.0452;0.0072;0.0815;0.8346;0.72;1.3
0.65;1483;61;96408;7798;0.0411;0.0066;0.0809;0.8412;0.66;1.29
0.66;1484;55;97892;7853;0.0371;0.0059;0.0802;0.8471;0.59;1.28
0.67;1483;58;99375;7911;0.0391;0.0063;0.0796;0.8534;0.63;1.27
0.68;1483;46;100858;7957;0.031;0.005;0.0789;0.8584;0.5;1.26
0.69;1483;49;102341;8006;0.033;0.0053;0.0782;0.8636;0.53;1.25
0.7;1483;52;103824;8058;0.0351;0.0056;0.0776;0.8693;0.56;1.24
0.71;1484;52;105308;8110;0.035;0.0056;0.077;0.8749;0.56;1.23
0.72;1483;48;106791;8158;0.0324;0.0052;0.0764;0.88;0.52;1.22
0.73;1483;45;108274;8203;0.0303;0.0049;0.0758;0.8849;0.48;1.21
0.74;1483;61;109757;8264;0.0411;0.0066;0.0753;0.8915;0.66;1.2
0.75;1483;51;111240;8315;0.0344;0.0055;0.0747;0.897;0.55;1.2
0.76;1484;58;112724;8373;0.0391;0.0063;0.0743;0.9032;0.63;1.19
0.77;1483;42;114207;8415;0.0283;0.0045;0.0737;0.9078;0.45;1.18
0.78;1483;38;115690;8453;0.0256;0.0041;0.0731;0.9119;0.41;1.17
0.79;1483;48;117173;8501;0.0324;0.0052;0.0726;0.917;0.52;1.16
0.8;1483;45;118656;8546;0.0303;0.0049;0.072;0.9219;0.48;1.15
0.81;1484;51;120140;8597;0.0344;0.0055;0.0716;0.9274;0.55;1.15
0.82;1483;49;121623;8646;0.033;0.0053;0.0711;0.9327;0.53;1.14
0.83;1483;55;123106;8701;0.0371;0.0059;0.0707;0.9386;0.59;1.13
0.84;1483;37;124589;8738;0.0249;0.004;0.0701;0.9426;0.4;1.12
0.85;1483;28;126072;8766;0.0189;0.003;0.0695;0.9456;0.3;1.11
0.86;1484;40;127556;8806;0.027;0.0043;0.069;0.9499;0.43;1.1
0.87;1483;54;129039;8860;0.0364;0.0058;0.0687;0.9558;0.58;1.1
0.88;1483;32;130522;8892;0.0216;0.0035;0.0681;0.9592;0.35;1.09
0.89;1483;35;132005;8927;0.0236;0.0038;0.0676;0.963;0.38;1.08
0.9;1483;46;133488;8973;0.031;0.005;0.0672;0.968;0.5;1.08
0.91;1484;39;134972;9012;0.0263;0.0042;0.0668;0.9722;0.42;1.07
0.92;1483;43;136455;9055;0.029;0.0046;0.0664;0.9768;0.46;1.06
0.93;1483;43;137938;9098;0.029;0.0046;0.066;0.9814;0.46;1.06
0.94;1483;33;139421;9131;0.0223;0.0036;0.0655;0.985;0.36;1.05
0.95;1483;28;140904;9159;0.0189;0.003;0.065;0.988;0.3;1.04
0.96;1484;24;142388;9183;0.0162;0.0026;0.0645;0.9906;0.26;1.03
0.97;1483;26;143871;9209;0.0175;0.0028;0.064;0.9934;0.28;1.02
0.98;1483;28;145354;9237;0.0189;0.003;0.0635;0.9964;0.3;1.02
0.99;1483;23;146837;9260;0.0155;0.0025;0.0631;0.9989;0.25;1.01
1;1483;10;148320;9270;0.0067;0.0011;0.0625;1;0.11;1
