percentile;N;N.target;cum.N;cum.target;precision;recall;acc.precision;acc.recall;uplift;acc.uplift
0.01;4237;739;4237;739;0.1744;0.0797;0.1744;0.0797;7.97;7.97
0.02;4237;405;8474;1144;0.0956;0.0437;0.135;0.1234;4.37;6.17
0.03;4237;275;12711;1419;0.0649;0.0297;0.1116;0.1531;2.97;5.1
0.04;4236;261;16947;1680;0.0616;0.0282;0.0991;0.1812;2.82;4.53
0.05;4237;236;21184;1916;0.0557;0.0255;0.0904;0.2067;2.55;4.13
0.06;4237;231;25421;2147;0.0545;0.0249;0.0845;0.2316;2.49;3.86
0.07;4236;189;29657;2336;0.0446;0.0204;0.0788;0.252;2.04;3.6
0.08;4237;188;33894;2524;0.0444;0.0203;0.0745;0.2723;2.03;3.4
0.09;4237;177;38131;2701;0.0418;0.0191;0.0708;0.2914;1.91;3.24
0.1;4236;167;42367;2868;0.0394;0.018;0.0677;0.3094;1.8;3.09
0.11;4237;171;46604;3039;0.0404;0.0184;0.0652;0.3278;1.85;2.98
0.12;4237;160;50841;3199;0.0378;0.0173;0.0629;0.3451;1.73;2.87
0.13;4236;145;55077;3344;0.0342;0.0156;0.0607;0.3607;1.56;2.77
0.14;4237;158;59314;3502;0.0373;0.017;0.059;0.3778;1.7;2.7
0.15;4237;146;63551;3648;0.0345;0.0157;0.0574;0.3935;1.58;2.62
0.16;4237;124;67788;3772;0.0293;0.0134;0.0556;0.4069;1.34;2.54
0.17;4236;112;72024;3884;0.0264;0.0121;0.0539;0.419;1.21;2.46
0.18;4237;120;76261;4004;0.0283;0.0129;0.0525;0.4319;1.29;2.4
0.19;4237;120;80498;4124;0.0283;0.0129;0.0512;0.4449;1.29;2.34
0.2;4236;90;84734;4214;0.0212;0.0097;0.0497;0.4546;0.97;2.27
0.21;4237;117;88971;4331;0.0276;0.0126;0.0487;0.4672;1.26;2.23
0.22;4237;109;93208;4440;0.0257;0.0118;0.0476;0.479;1.17;2.18
0.23;4236;92;97444;4532;0.0217;0.0099;0.0465;0.4889;0.99;2.13
0.24;4237;99;101681;4631;0.0234;0.0107;0.0455;0.4996;1.07;2.08
0.25;4237;99;105918;4730;0.0234;0.0107;0.0447;0.5102;1.07;2.04
0.26;4236;98;110154;4828;0.0231;0.0106;0.0438;0.5208;1.06;2
0.27;4237;105;114391;4933;0.0248;0.0113;0.0431;0.5321;1.13;1.97
0.28;4237;82;118628;5015;0.0194;0.0088;0.0423;0.541;0.89;1.93
0.29;4237;106;122865;5121;0.025;0.0114;0.0417;0.5524;1.14;1.91
0.3;4236;123;127101;5244;0.029;0.0133;0.0413;0.5657;1.33;1.89
0.31;4237;111;131338;5355;0.0262;0.012;0.0408;0.5777;1.2;1.86
0.32;4237;75;135575;5430;0.0177;0.0081;0.0401;0.5858;0.81;1.83
0.33;4236;102;139811;5532;0.0241;0.011;0.0396;0.5968;1.1;1.81
0.34;4237;92;144048;5624;0.0217;0.0099;0.039;0.6067;0.99;1.78
0.35;4237;85;148285;5709;0.0201;0.0092;0.0385;0.6159;0.92;1.76
0.36;4236;85;152521;5794;0.0201;0.0092;0.038;0.625;0.92;1.74
0.37;4237;84;156758;5878;0.0198;0.0091;0.0375;0.6341;0.9;1.71
0.38;4237;86;160995;5964;0.0203;0.0093;0.037;0.6434;0.93;1.69
0.39;4236;74;165231;6038;0.0175;0.008;0.0365;0.6513;0.8;1.67
0.4;4237;72;169468;6110;0.017;0.0078;0.0361;0.6591;0.78;1.65
0.41;4237;96;173705;6206;0.0227;0.0104;0.0357;0.6695;1.04;1.63
0.42;4236;72;177941;6278;0.017;0.0078;0.0353;0.6772;0.78;1.61
0.43;4237;89;182178;6367;0.021;0.0096;0.0349;0.6868;0.96;1.6
0.44;4237;78;186415;6445;0.0184;0.0084;0.0346;0.6953;0.84;1.58
0.45;4237;60;190652;6505;0.0142;0.0065;0.0341;0.7017;0.65;1.56
0.46;4236;80;194888;6585;0.0189;0.0086;0.0338;0.7104;0.86;1.54
0.47;4237;84;199125;6669;0.0198;0.0091;0.0335;0.7194;0.9;1.53
0.48;4237;65;203362;6734;0.0153;0.007;0.0331;0.7264;0.7;1.51
0.49;4236;74;207598;6808;0.0175;0.008;0.0328;0.7344;0.8;1.5
0.5;4237;80;211835;6888;0.0189;0.0086;0.0325;0.743;0.86;1.49
0.51;4237;62;216072;6950;0.0146;0.0067;0.0322;0.7497;0.67;1.47
0.52;4236;52;220308;7002;0.0123;0.0056;0.0318;0.7553;0.56;1.45
0.53;4237;88;224545;7090;0.0208;0.0095;0.0316;0.7648;0.95;1.44
0.54;4237;62;228782;7152;0.0146;0.0067;0.0313;0.7715;0.67;1.43
0.55;4236;62;233018;7214;0.0146;0.0067;0.031;0.7782;0.67;1.42
0.56;4237;66;237255;7280;0.0156;0.0071;0.0307;0.7853;0.71;1.4
0.57;4237;60;241492;7340;0.0142;0.0065;0.0304;0.7918;0.65;1.39
0.58;4237;79;245729;7419;0.0186;0.0085;0.0302;0.8003;0.85;1.38
0.59;4236;52;249965;7471;0.0123;0.0056;0.0299;0.8059;0.56;1.37
0.6;4237;56;254202;7527;0.0132;0.006;0.0296;0.812;0.6;1.35
0.61;4237;76;258439;7603;0.0179;0.0082;0.0294;0.8202;0.82;1.34
0.62;4236;63;262675;7666;0.0149;0.0068;0.0292;0.827;0.68;1.33
0.63;4237;59;266912;7725;0.0139;0.0064;0.0289;0.8333;0.64;1.32
0.64;4237;52;271149;7777;0.0123;0.0056;0.0287;0.8389;0.56;1.31
0.65;4236;62;275385;7839;0.0146;0.0067;0.0285;0.8456;0.67;1.3
0.66;4237;52;279622;7891;0.0123;0.0056;0.0282;0.8512;0.56;1.29
0.67;4237;52;283859;7943;0.0123;0.0056;0.028;0.8569;0.56;1.28
0.68;4236;50;288095;7993;0.0118;0.0054;0.0277;0.8622;0.54;1.27
0.69;4237;60;292332;8053;0.0142;0.0065;0.0275;0.8687;0.65;1.26
0.7;4237;48;296569;8101;0.0113;0.0052;0.0273;0.8739;0.52;1.25
0.71;4236;62;300805;8163;0.0146;0.0067;0.0271;0.8806;0.67;1.24
0.72;4237;50;305042;8213;0.0118;0.0054;0.0269;0.886;0.54;1.23
0.73;4237;46;309279;8259;0.0109;0.005;0.0267;0.8909;0.5;1.22
0.74;4237;42;313516;8301;0.0099;0.0045;0.0265;0.8955;0.45;1.21
0.75;4236;58;317752;8359;0.0137;0.0063;0.0263;0.9017;0.63;1.2
0.76;4237;36;321989;8395;0.0085;0.0039;0.0261;0.9056;0.39;1.19
0.77;4237;48;326226;8443;0.0113;0.0052;0.0259;0.9108;0.52;1.18
0.78;4236;42;330462;8485;0.0099;0.0045;0.0257;0.9153;0.45;1.17
0.79;4237;47;334699;8532;0.0111;0.0051;0.0255;0.9204;0.51;1.17
0.8;4237;55;338936;8587;0.013;0.0059;0.0253;0.9263;0.59;1.16
0.81;4236;43;343172;8630;0.0102;0.0046;0.0251;0.931;0.47;1.15
0.82;4237;52;347409;8682;0.0123;0.0056;0.025;0.9366;0.56;1.14
0.83;4237;38;351646;8720;0.009;0.0041;0.0248;0.9407;0.41;1.13
0.84;4236;40;355882;8760;0.0094;0.0043;0.0246;0.945;0.43;1.12
0.85;4237;40;360119;8800;0.0094;0.0043;0.0244;0.9493;0.43;1.12
0.86;4237;41;364356;8841;0.0097;0.0044;0.0243;0.9537;0.44;1.11
0.87;4237;32;368593;8873;0.0076;0.0035;0.0241;0.9572;0.35;1.1
0.88;4236;42;372829;8915;0.0099;0.0045;0.0239;0.9617;0.45;1.09
0.89;4237;36;377066;8951;0.0085;0.0039;0.0237;0.9656;0.39;1.08
0.9;4237;38;381303;8989;0.009;0.0041;0.0236;0.9697;0.41;1.08
0.91;4236;34;385539;9023;0.008;0.0037;0.0234;0.9734;0.37;1.07
0.92;4237;38;389776;9061;0.009;0.0041;0.0232;0.9775;0.41;1.06
0.93;4237;25;394013;9086;0.0059;0.0027;0.0231;0.9802;0.27;1.06
0.94;4236;26;398249;9112;0.0061;0.0028;0.0229;0.983;0.28;1.05
0.95;4237;34;402486;9146;0.008;0.0037;0.0227;0.9866;0.37;1.04
0.96;4237;27;406723;9173;0.0064;0.0029;0.0226;0.9895;0.29;1.03
0.97;4236;28;410959;9201;0.0066;0.003;0.0224;0.9926;0.3;1.02
0.98;4237;35;415196;9236;0.0083;0.0038;0.0222;0.9963;0.38;1.01
0.99;4237;17;419433;9253;0.004;0.0018;0.0221;0.9982;0.18;1.01
1;4236;17;423669;9270;0.004;0.0018;0.0219;1;0.18;1
