percentile;N;N.target;cum.N;cum.target;precision;recall;acc.precision;acc.recall;uplift;acc.uplift
0.01;4237;520;4237;520;0.1227;0.0561;0.1227;0.0561;5.61;5.61
0.02;4237;353;8474;873;0.0833;0.0381;0.103;0.0942;3.81;4.71
0.03;4237;254;12711;1127;0.0599;0.0274;0.0887;0.1216;2.74;4.05
0.04;4236;220;16947;1347;0.0519;0.0237;0.0795;0.1453;2.37;3.63
0.05;4237;253;21184;1600;0.0597;0.0273;0.0755;0.1726;2.73;3.45
0.06;4237;206;25421;1806;0.0486;0.0222;0.071;0.1948;2.22;3.24
0.07;4236;192;29657;1998;0.0453;0.0207;0.0674;0.2155;2.07;3.08
0.08;4237;198;33894;2196;0.0467;0.0214;0.0648;0.2369;2.13;2.96
0.09;4237;172;38131;2368;0.0406;0.0186;0.0621;0.2554;1.86;2.84
0.1;4236;184;42367;2552;0.0434;0.0198;0.0602;0.2753;1.98;2.75
0.11;4237;156;46604;2708;0.0368;0.0168;0.0581;0.2921;1.68;2.66
0.12;4237;161;50841;2869;0.038;0.0174;0.0564;0.3095;1.74;2.58
0.13;4236;136;55077;3005;0.0321;0.0147;0.0546;0.3242;1.47;2.5
0.14;4237;132;59314;3137;0.0312;0.0142;0.0529;0.3384;1.43;2.42
0.15;4237;144;63551;3281;0.034;0.0155;0.0516;0.3539;1.55;2.36
0.16;4237;139;67788;3420;0.0328;0.015;0.0505;0.3689;1.5;2.31
0.17;4236;134;72024;3554;0.0316;0.0145;0.0493;0.3834;1.44;2.25
0.18;4237;130;76261;3684;0.0307;0.014;0.0483;0.3974;1.4;2.21
0.19;4237;134;80498;3818;0.0316;0.0145;0.0474;0.4119;1.44;2.17
0.2;4236;126;84734;3944;0.0297;0.0136;0.0465;0.4255;1.36;2.13
0.21;4237;96;88971;4040;0.0227;0.0104;0.0454;0.4358;1.04;2.07
0.22;4237;135;93208;4175;0.0319;0.0146;0.0448;0.4504;1.46;2.05
0.23;4236;74;97444;4249;0.0175;0.008;0.0436;0.4584;0.8;1.99
0.24;4237;95;101681;4344;0.0224;0.0102;0.0427;0.4686;1.02;1.95
0.25;4237;107;105918;4451;0.0253;0.0115;0.042;0.4802;1.16;1.92
0.26;4236;110;110154;4561;0.026;0.0119;0.0414;0.492;1.19;1.89
0.27;4237;100;114391;4661;0.0236;0.0108;0.0407;0.5028;1.08;1.86
0.28;4237;99;118628;4760;0.0234;0.0107;0.0401;0.5135;1.07;1.83
0.29;4237;101;122865;4861;0.0238;0.0109;0.0396;0.5244;1.09;1.81
0.3;4236;91;127101;4952;0.0215;0.0098;0.039;0.5342;0.98;1.78
0.31;4237;112;131338;5064;0.0264;0.0121;0.0386;0.5463;1.21;1.76
0.32;4237;83;135575;5147;0.0196;0.009;0.038;0.5552;0.9;1.74
0.33;4236;86;139811;5233;0.0203;0.0093;0.0374;0.5645;0.93;1.71
0.34;4237;98;144048;5331;0.0231;0.0106;0.037;0.5751;1.06;1.69
0.35;4237;87;148285;5418;0.0205;0.0094;0.0365;0.5845;0.94;1.67
0.36;4236;85;152521;5503;0.0201;0.0092;0.0361;0.5936;0.92;1.65
0.37;4237;92;156758;5595;0.0217;0.0099;0.0357;0.6036;0.99;1.63
0.38;4237;83;160995;5678;0.0196;0.009;0.0353;0.6125;0.9;1.61
0.39;4236;97;165231;5775;0.0229;0.0105;0.035;0.623;1.05;1.6
0.4;4237;86;169468;5861;0.0203;0.0093;0.0346;0.6323;0.93;1.58
0.41;4237;86;173705;5947;0.0203;0.0093;0.0342;0.6415;0.93;1.56
0.42;4236;69;177941;6016;0.0163;0.0074;0.0338;0.649;0.74;1.54
0.43;4237;68;182178;6084;0.016;0.0073;0.0334;0.6563;0.73;1.53
0.44;4237;82;186415;6166;0.0194;0.0088;0.0331;0.6652;0.89;1.51
0.45;4237;79;190652;6245;0.0186;0.0085;0.0328;0.6737;0.85;1.5
0.46;4236;99;194888;6344;0.0234;0.0107;0.0326;0.6844;1.07;1.49
0.47;4237;79;199125;6423;0.0186;0.0085;0.0323;0.6929;0.85;1.48
0.48;4237;83;203362;6506;0.0196;0.009;0.032;0.7018;0.9;1.46
0.49;4236;89;207598;6595;0.021;0.0096;0.0318;0.7114;0.96;1.45
0.5;4237;80;211835;6675;0.0189;0.0086;0.0315;0.7201;0.86;1.44
0.51;4237;67;216072;6742;0.0158;0.0072;0.0312;0.7273;0.72;1.43
0.52;4236;76;220308;6818;0.0179;0.0082;0.0309;0.7355;0.82;1.41
0.53;4237;68;224545;6886;0.016;0.0073;0.0307;0.7428;0.73;1.4
0.54;4237;63;228782;6949;0.0149;0.0068;0.0304;0.7496;0.68;1.39
0.55;4236;71;233018;7020;0.0168;0.0077;0.0301;0.7573;0.77;1.38
0.56;4237;55;237255;7075;0.013;0.0059;0.0298;0.7632;0.59;1.36
0.57;4237;56;241492;7131;0.0132;0.006;0.0295;0.7693;0.6;1.35
0.58;4237;64;245729;7195;0.0151;0.0069;0.0293;0.7762;0.69;1.34
0.59;4236;75;249965;7270;0.0177;0.0081;0.0291;0.7843;0.81;1.33
0.6;4237;72;254202;7342;0.017;0.0078;0.0289;0.792;0.78;1.32
0.61;4237;65;258439;7407;0.0153;0.007;0.0287;0.799;0.7;1.31
0.62;4236;56;262675;7463;0.0132;0.006;0.0284;0.8051;0.6;1.3
